"id","publisher_id","sale_amount","commission","date","commission_status","validation_date","extra","type","site_name","URL","decline_reason","referer","clickThroughTime","voucher_code","mins_between_click_trans","amended","amend_reason","old_sale_amount","old_commission","different_currency","ip","click_ref","click_device","transaction_device","publisher_url","transaction_parts","country_by_ip","custom_parameters","paid_to_publisher","invoice_id","transaction_query_id","commission_sharing_publisher_id","commission_sharing_publisher","partner_commission","commission_sharing_transaction_id","iphash","commission_sharing_selected_rate_publisher_id","products","campaign","tracked_parts","customer_acquisition","network_fee","service_partner_advertiser_cost"
"2038598266","251239","248.00","14.88","2026-01-25 02:19:00","1","2026-02-17 13:47:00","6738820169978","Sale","Linkhaitao.com","http://www.linkhaitao.com",,"","2026-01-24 20:49:00","","330","No",,,,,"0.0.0.0","lh_4dh37r6","iPhone","PC Unknown","https://lkht.top/","RETURNING:248.00","Ireland","1: shopifyApp_5.2.5,2: #15235,3: s2s,4: 24986320897","yes","11122576",,,,"0.00",,"5005622096606567817",,"[{""product_id"":""9010345869562"",""product_name"":""Brando Velvet Carbon"",""unit_price"":248.00,""quantity"":1,""sku_code"":""1008V105425_VELVET CARBO_34"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:248.00","returning","4.22","0.00"
"2081344893","407399","278.40","33.41","2026-03-28 21:16:00","2","2026-04-06 13:46:00","6852386390266","Sale","Wildfire Systems, Inc.","http://wildlink.me","Invalid claim - Transaction occurred too long ago","https://monfrerefashion.com/","2026-03-28 21:16:00","WILDFIRE20","n/a","No",,,,,"0.0.0.0","","PC Unknown","iPhone","","NEW:278.40","United States of America","1: shopifyApp_5.4.0,2: #15726,3: px,4: web","no",,,,,"0.00",,"4754261606543843297",,"[{""product_id"":""9142650831098"",""product_name"":""Maverick Silk Steel Blue"",""unit_price"":278.40,""quantity"":1,""sku_code"":""912V_STEELBLUE_M"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:278.40","new","4.73","0.00"
"2063297944","214459","173.60","20.83","2026-03-02 07:59:00","1","2026-04-01 21:18:00","6802957828346","Sale","Honey Science Corporation","http://www.joinhoney.com/partners",,"https://checkout.monfrerefashion.com/","2026-03-02 07:58:00","","1","No",,,,,"0.0.0.0","2316b62675515ab5f83dae9257fc13cc78850487f3754538","Apple Mac","Apple Mac","","RETURNING:173.60","United States of America","1: shopifyApp_5.2.5,2: #15544,3: px,4: 24986320897","no","11297829",,,,"0.00",,"5968564194208135005",,"[{""product_id"":""9010346787066"",""product_name"":""Cooper Butter Suede Espresso"",""unit_price"":173.60,""quantity"":1,""sku_code"":""810S115203_SUEDE ESPRES_XL"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:173.60","returning","2.95","0.00"
"2095717884","156708","125.40","15.05","2026-04-17 22:29:00","2","2026-04-21 17:03:00","6890186244346","Sale","Ebates Performance Marketing, Inc. dba Rakuten Rewards","http://www.ebates.com","Invalid claim - Transaction occurred too long ago","https://monfrerefashion.com/","2026-04-17 22:28:00","","1","No",,,,,"0.0.0.0","ebs6310544445sbe","Apple Mac","Apple Mac","","RETURNING:125.40","United States of America","1: shopifyApp_5.4.1,3: px,2: #15910,4: web","no",,,,,"0.00",,"8322813165276814667",,"[{""product_id"":""9010346328314"",""product_name"":""Noah Butter Suede Noir"",""unit_price"":125.40,""quantity"":1,""sku_code"":""3012S105001_SUEDE NOIR_S"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:125.40","returning","2.13","0.00"
"2097746281","1137879","91.20","10.94","2026-04-20 18:37:00","0","","6895731343610","Sale","LinkPrefer","https://www.linkprefer.com/",,"","2026-04-19 15:21:00","","1635","No",,,,,"0.0.0.0","lp_m8knlcs01wuv-0-madisyn_and_the3bears","iPhone","PC Unknown","https://www.linkprefer.com/","NEW:91.20","United States of America","1: shopifyApp_5.4.1,2: #15930,3: s2s,4: 3890849","no",,,,,"0.00",,"-1163039484858356708",,"[{""product_id"":""8938624155898"",""product_name"":""Tactical Needle Cord Noir"",""unit_price"":91.20,""quantity"":1,""sku_code"":""3618N75001_NOIR_31"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:91.20","new","1.55","0.00"
"2029352551","80338","228.00","11.40","2026-01-11 18:38:00","2","2026-01-14 20:34:00","6716465348858","Sale","intent.ly Overlays","https://intent.ly/","Order not complete - manual commission added","https://checkout.monfrerefashion.com/","2026-01-11 18:36:00","","1","No",,,,,"0.0.0.0","OID148090_DID160342_","PC Windows","PC Windows","https://www.monfrerefashion.com/products/brando-tinted-indigo","NEW:228.00","United States of America","1: shopifyApp_5.2.5,2: 6716465348858,3: px,4: 24986320897","no",,,,,"0.00",,"-6706025966968126963",,"[{""product_id"":""6930529812677"",""product_name"":""Brando Tinted Indigo"",""unit_price"":228.00,""quantity"":1,""sku_code"":""1008J71422_TINTED INDIG_33"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:228.00","new","3.88","0.00"
"2077192453","680477","253.30","30.40","2026-03-22 23:05:00","1","2026-04-13 12:27:00","6840893243642","Sale","Minty Recover","https://business.minty.com/",,"","2026-03-22 23:04:00","ADS15","1","No",,,,,"0.0.0.0","","iPhone","PC Unknown","https://monfrre.offer.safeopt.com/","NEW:253.30","Ireland","1: shopifyApp_5.2.5,2: #15677,3: s2s,4: 24986320897","no","11297829",,,,"0.00",,"5005622096606567817",,"[{""product_id"":""9142650765562"",""product_name"":""Maverick Butter Suede Cool Grey"",""unit_price"":253.30,""quantity"":1,""sku_code"":""912S_COOL GREY_XXL"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:253.30","new","4.31","0.00"
"2030118735","80338","310.00","15.50","2026-01-12 20:10:00","1","2026-02-10 12:59:00","6718108369146","Sale","intent.ly Overlays","https://intent.ly/",,"","2026-01-12 20:02:00","","7","No",,,,,"0.0.0.0","OID148095_DID160340_","iPhone","PC Unknown","https://www.monfrerefashion.com/products/brando-velvet-saddle","RETURNING:310.00","Ireland","1: shopifyApp_5.2.5,2: #15136,3: s2s,4: 24986320897","yes","11072934",,,,"0.00",,"5005622096606567817",,"[{""product_id"":""8017651794170"",""product_name"":""Brando Velvet Noir"",""unit_price"":173.60,""quantity"":1,""sku_code"":""1008V73001_VELVET NOIR_32"",""commission_group_code"":""DEFAULT"",""category"":""""},{""product_id"":""8938623631610"",""product_name"":""Brando Velvet Saddle"",""unit_price"":136.40,""quantity"":1,""sku_code"":""1008V85225_SADDLE_30"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:310.00","returning","5.27","0.00"
"2029409575","80338","132.65","6.63","2026-01-11 21:14:00","1","2026-02-10 12:59:00","6716622143738","Sale","intent.ly Overlays","https://intent.ly/",,"","2026-01-11 21:08:00","","6","No",,,,"AUD","0.0.0.0","OID148095_DID160340_","iPhone","PC Unknown","https://www.monfrerefashion.com/collections/sale-2","RETURNING:132.65","Ireland","1: shopifyApp_5.2.5,2: #15131,3: s2s,4: 24986320897","yes","11072934",,,,"0.00",,"5005622096606567817",,"[{""product_id"":""8614627508474"",""product_name"":""Greyson Tinted Indigo"",""unit_price"":132.65,""quantity"":1,""sku_code"":""1026J64422_TINTED INDIG_32"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:198.01","returning","2.26","0.00"
"2106059712","632550","198.00","11.88","2026-05-01 22:29:00","0","","6918253969658","Sale","Refermate LLC","http://www.refermate.com",,"https://monfrerefashion.com/","2026-05-01 22:27:00","","2","No",,,,,"0.0.0.0","0xcbxozwx4828985x28016c834c4a484a","iPhone","iPhone","https://refermate.com/","RETURNING:198.00","United States of America","1: shopifyApp_5.4.1,3: px,2: #16012,4: web","no",,,,,"0.00",,"826504922419897023",,"[{""product_id"":""8938623860986"",""product_name"":""Caine Clichy"",""unit_price"":198.00,""quantity"":1,""sku_code"":""1044J85408_CLICHY_30"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:198.00","returning","3.37","0.00"
