"publisher_name","PublisherID","parent_publisher_type","publisher_type","publisher_tags","return_on_investment (ROI)","cost_per_acquisition (CPA)","cost_per_click (CPC)","impressions","all_clicks","total_conversion_rate","total_aov","pending_aov","approved_aov","bonus_aov","declined_aov","total_transactions","pending_transactions","approved_transactions","bonus_transactions","declined_transactions","total_revenue","pending_revenue","approved_revenue","bonus_revenue","declined_revenue","total_commission","pending_commission","approved_commission","bonus_commission","declined_commission","total_influence","converted_solo","converted_awin","assisted_awin","assisted_awin_1st","assisted_other_channels"
"Envolve Tech","531021","Content","Editorial Content","","13.53","16.99","0.61","0","2435","3.61","229.92420454545456","177.48","230.52701149425286","0","233.15885906040268","88","1","87","0","149","20233.33","177.48","20055.85","0","34740.67","1495.18","8.87","1486.31","0","2706.47","263","236","1","1","1","25"
"intent.ly Overlays","80338","Display","Direct Traffic","","14.72","10.92","1.7","0","843","15.54","160.81427480916028","194.3440909090909","154.04678899082566","0","141.21942675159235","131","22","109","0","157","21066.67","4275.57","16791.1","0","22171.45","1431.09","213.77","1217.32","0","1876.57","303","287","1","3","1","12"
"Honey Science Corporation","214459","Content","Discount Code","","8.58","20.78","11.14","0","69","53.62","178.2254054054054","174.6075","178.6639393939394","0","172.46774193548387","37","4","33","0","31","6594.34","698.43","5895.91","0","5346.5","768.98","72.28","696.7","0","628.53","71","66","2","0","0","3"
"Demand.io","177945","Content","Discount Code","","8.85","23.5","1.43","0","493","6.09","207.904","187.12666666666667","210.21259259259259","0","210.803125","30","3","27","0","16","6237.12","561.38","5675.74","0","3372.85","705.04","54.78","650.26","0","404.74","51","41","5","0","0","5"
"Gabiram Media Ltd","1776174","Content","Editorial Content","","8.33","24.17","0","0","272884","0.01","201.42482758620687","0","201.42482758620687","0","210.988","29","0","29","0","15","5841.32","0","5841.32","0","3164.82","700.97","0","700.97","0","379.79","44","44","0","0","0","0"
"RetailMeNot.com","81392","Content","Discount Code","","10.7","21.65","0.47","0","925","2.16","231.70999999999998","219.92875","239.56416666666667","0","350.69","20","8","12","0","4","4634.2","1759.43","2874.77","0","1402.76","433.02","170.65","262.37","0","126.64","32","24","0","0","0","8"
"Ebates Performance Marketing, Inc. dba Rakuten Rewards","156708","Content","Cashback","","9.77","40.16","0.54","0","668","1.35","392.2288888888889","339.08","407.4142857142857","0","365.0057142857143","9","2","7","0","7","3530.06","678.16","2851.9","0","2555.04","361.42","81.38","280.04","0","175.14","19","16","0","0","0","3"
"Brandreward - Incentivized","313605","Display","Subnetworks","","8.02","49.09","3.69","0","93","7.53","393.8971428571429","0","393.8971428571429","0","70.704","7","0","7","0","5","2757.28","0","2757.28","0","353.52","343.61","0","343.61","0","53.02","12","12","0","0","0","0"
"Ostheimer Marketing Kft","992873","Display","Ad Networks","","8.33","31.47","0","0","460147","0","262.219","0","262.219","0","528.04","10","0","10","0","2","2622.19","0","2622.19","0","1056.08","314.66","0","314.66","0","126.73","12","12","0","0","0","0"
"Rewardoo","1004849","Content","Bloggers & Social Content","","9.89","34.39","0.01","0","28693","0.03","340.0866666666667","240.98","419.372","0","0","9","4","5","0","0","3060.78","963.92","2096.86","0","0","309.47","57.84","251.63","0","0","9","9","0","0","0","0"
"Linkbux","685769","Display","Subnetworks","","9.65","14.21","0","0","155085","0.01","137.19647058823531","111.655","145.0553846153846","0","261.59","17","4","13","0","2","2332.34","446.62","1885.72","0","523.18","241.62","27.13","214.49","0","62.78","19","19","0","0","0","0"
"Couponology & Voucherology.co.uk","182923","Content","Discount Code","","7.11","27.9","5.19","0","43","18.6","198.37125","219.38","195.36999999999998","0","182.615","8","1","7","0","4","1586.97","219.38","1367.59","0","730.46","223.18","26.33","196.85","0","127.43","16","12","0","1","1","3"
"AddShoppers","680477","Email","Retargeting (Email)","","9.29","28.57","8","0","25","28","265.33714285714285","66.88","298.41333333333336","0","234.565","7","1","6","0","2","1857.36","66.88","1790.48","0","469.13","200.02","8.03","191.99","0","56.3","10","9","0","0","0","1"
"Kelkoo USA","638423","Display","Ad Networks","","8.33","51.56","0.02","0","6228","0.05","429.68","0","429.68","0","71.52","3","0","3","0","1","1289.04","0","1289.04","0","71.52","154.68","0","154.68","0","8.58","5","4","0","1","1","0"
"CouponChief.com LLC","139765","Content","Discount Code","","8.33","30.6","1.16","0","79","3.8","254.98666666666668","541.28","111.84","0","69.6","3","1","2","0","1","764.96","541.28","223.68","0","69.6","91.79","64.95","26.84","0","8.35","5","4","0","0","0","1"
"Skimlinks Coupon Deal sites","181013","Display","Subnetworks","","15","17.65","1.24","0","71","7.04","264.71","388.615","182.10666666666668","0","75.40666666666667","5","2","3","0","3","1323.55","777.23","546.32","0","226.22","88.24","50.46","37.78","0","23.93","11","7","1","0","0","3"
"Wickfire","233219","Content","Discount Code","","8.33","12.16","2.21","0","33","18.18","101.34500000000001","0","101.34500000000001","0","236.81","6","0","6","0","2","608.07","0","608.07","0","473.62","72.96","0","72.96","0","56.84","10","8","0","2","2","0"
"Astronomic Effect","1119187","Content","Editorial Content","","8.33","34.81","0","0","35078","0.01","290.05","0","290.05","0","0","2","0","2","0","0","580.1","0","580.1","0","0","69.61","0","69.61","0","0","2","2","0","0","0","0"
"Linkhaitao.com","251239","Display","Subnetworks","","16.67","11.06","0","0","46266","0.01","184.3033333333333","184.3033333333333","0","0","0","6","6","0","0","0","1105.82","1105.82","0","0","0","66.35","66.35","0","0","0","6","6","0","0","0","0"
"Zelda Digital Marketing B.V. Ltd","1320769","Content","Comparison Engine","","8.33","22.07","0","0","44728","0.01","183.92","0","183.92","0","0","3","0","3","0","0","551.76","0","551.76","0","0","66.21","0","66.21","0","0","3","3","0","0","0","0"
"Twixio Digital Limited - Ireland","1089759","Display","Ad Networks","","8.33","29.75","0","0","41670","0","247.9","0","247.9","0","0","2","0","2","0","0","495.8","0","495.8","0","0","59.5","0","59.5","0","0","2","2","0","0","0","0"
"tenere_team","1852528","Content","Bloggers & Social Content","","8.66","9.67","2.1","0","23","21.74","83.72","0","83.72","0","85.38","5","0","5","0","2","418.6","0","418.6","0","170.76","48.35","0","48.35","0","20.49","7","7","0","0","0","0"
"Ayesha Siddiqua","1944207","Content","Discount Code","","16.67","24.01","1.6","0","30","6.67","400.19","0","400.19","0","0","2","0","2","0","0","800.38","0","800.38","0","0","48.02","0","48.02","0","0","2","2","0","0","0","0"
"DontPayFull.com","162254","Content","Discount Code","","14.07","14.63","0.5","0","58","3.45","205.74","0","205.74","0","689.18","2","0","2","0","1","411.48","0","411.48","0","689.18","29.25","0","29.25","0","82.7","3","3","0","0","0","0"
"Skimlinks","78888","Display","Subnetworks","","6.67","29.07","0.27","0","106","0.94","193.8","0","193.8","0","0","1","0","1","0","0","193.8","0","193.8","0","0","29.07","0","29.07","0","0","1","1","0","0","0","0"
"BlueAFF","1435967","Display","Subnetworks","","8.33","13.97","0.1","0","268","0.75","116.4","0","116.4","0","214.836","2","0","2","0","5","232.8","0","232.8","0","1074.18","27.94","0","27.94","0","128.9","9","7","0","2","2","0"
