"Week","Online store visitors"
"2024-01-01",2349
"2024-01-08",2439
"2024-01-15",3136
"2024-01-22",3711
"2024-01-29",2357
"2024-02-05",1614
"2024-02-12",1563
"2024-02-19",3996
"2024-02-26",2988
"2024-03-04",2263
"2024-03-11",2520
"2024-03-18",2094
"2024-03-25",1470
"2024-04-01",1407
"2024-04-08",1664
"2024-04-15",5580
"2024-04-22",6181
"2024-04-29",5338
"2024-05-06",2005
"2024-05-13",1517
"2024-05-20",2011
"2024-05-27",2333
"2024-06-03",3341
"2024-06-10",2146
"2024-06-17",9193
"2024-06-24",2926
"2024-07-01",1961
"2024-07-08",1155
"2024-07-15",833
"2024-07-22",1769
"2024-07-29",2110
"2024-08-05",2628
"2024-08-12",3808
"2024-08-19",4408
"2024-08-26",6147
"2024-09-02",60221
"2024-09-09",5146
"2024-09-16",6460
"2024-09-23",5250
"2024-09-30",3901
"2024-10-07",5874
"2024-10-14",5486
"2024-10-21",3622
"2024-10-28",2629
"2024-11-04",6993
"2024-11-11",3085
"2024-11-18",4210
"2024-11-25",4531
"2024-12-02",3622
"2024-12-09",3950
"2024-12-16",4127
"2024-12-23",4873
"2024-12-30",2208
