# ----------------------------------------
# User acquisition: First user primary channel group (Default Channel Group)
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
# 
# All Users
# Start date: 20240101
# End date: 20241231
First user primary channel group (Default Channel Group),Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Email,173189,178280,4273,34.76354247293816,0.93438731068264,2156286,742,0.0036679335959612295
Organic Social,93492,88223,11892,21.402436804745133,1.0402672348261797,1349963,517,0.004143424588601835
Direct,46340,27586,6781,60.83760886948629,1.0889974281947656,1060326,1080,0.01741911780596918
Paid Social,27290,17074,4711,46.8434602740738,1.322239869981162,652679,240,0.0073874339748088505
Cross-network,26207,19494,3135,35.44972696376065,1.1333486080879827,377377,238,0.007942872417611792
Organic Search,18229,13943,4052,106.8409090909091,1.4728260869565217,699610,627,0.026734738691260432
Paid Search,6401,4508,1494,114.7606008449382,1.482710061023314,249325,218,0.028946956657800033
Referral,4331,4153,157,13.541570438799075,0.248729792147806,34231,34,0.006004618937644342
SMS,1153,877,376,117.95486111111111,2.1067708333333335,54431,56,0.041666666666666664
Paid Shopping,877,867,50,23.39908779931585,1.0638540478905358,11972,11,0.011402508551881414
Unassigned,545,410,110,71.08088235294117,1.4558823529411764,18305,14,0.022058823529411766
Organic Shopping,385,312,89,96.52741514360314,1.7258485639686685,15158,32,0.06005221932114883
Display,347,345,11,24.080691642651296,1,2553,0,0
Paid Video,217,216,15,19.46082949308756,1.032258064516129,1274,0,0
Paid Other,179,153,25,55.49438202247191,1.196629213483146,3061,0,0
Organic Video,15,11,0,5.466666666666667,0.8666666666666667,75,0,0
Mobile Push Notifications,9,9,2,73.22222222222223,2,237,0,0
