# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20251212
Session primary channel group (Default Channel Group),Week,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Organic Social,02,4838,4576,0.9458453906572964,25.83712277800744,16.151922281934684,78143,35,0.007234394377842084,3481.2
Organic Social,19,4507,4256,0.9443088528954959,10.009540714444197,7.309074772575993,32942,42,0.009318837364100288,4152.35
Organic Social,10,4221,4020,0.9523809523809523,24.457000710732054,13.837479270315091,58408,47,0.0111348021795783,7228.68
Organic Social,18,4182,3869,0.9251554280248685,12.617886178861788,7.873027259684362,32925,43,0.010282161645145864,4324.21
Organic Social,20,3800,3535,0.9302631578947368,13.811052631578947,8.141842105263159,30939,43,0.011315789473684211,6337.21
Organic Social,09,3729,3423,0.917940466613033,22.320997586484314,12.84070796460177,47883,44,0.011531241619737195,5420.07
Organic Social,01,3607,3283,0.9101746603825894,24.327696146382035,15.300526753534793,55189,26,0.007208206265594677,4078.68
Organic Social,16,3563,3267,0.916923940499579,13.689306763962952,7.951445411170362,28331,37,0.010384507437552624,6660.27
Organic Social,17,3242,2969,0.9157927205428747,10.507711289327576,7.291178285009254,23638,34,0.010487353485502776,4704.55
Organic Social,03,3203,2813,0.8782391507961286,21.840774274118015,14.515454261629722,46493,16,0.004995316890415236,1892.16
Organic Social,11,3044,2873,0.9438239159001314,21.295006570302235,12.730946123521681,38753,25,0.00821287779237845,4328.44
Organic Social,08,2730,2373,0.8692307692307693,22.204761904761906,13.276556776556777,36245,29,0.010622710622710623,3323.88
Organic Social,13,2649,2458,0.9278973197432994,19.190637976594942,8.99848999622499,23837,33,0.01245753114382786,6855.11
Organic Social,22,2630,2016,0.7665399239543726,18.509885931558934,8.315209125475285,21869,43,0.01634980988593156,8524.27
Organic Social,12,2576,2367,0.9188664596273292,20.077639751552795,11.052018633540373,28470,33,0.01281055900621118,4611.91
Organic Social,21,2494,1977,0.7927024859663192,23.300320769847634,9.803127506014434,24449,40,0.015637530072173216,3662.45
Referral,26,2406,2196,0.912718204488778,0.7543640897755611,4.639650872817955,11163,0,0,0
Organic Social,15,2383,2203,0.9244649601342845,22.15190935795216,9.864456567352077,23507,30,0.01258917331095258,4019.14
Referral,29,2294,2068,0.9014821272885789,0.6303400174367916,4.517000871839581,10362,0,0,0
Referral,28,2177,1970,0.9049150206706477,1.245751033532384,4.543867707854846,9892,0,0,0
Organic Social,14,2146,1885,0.8783783783783784,22.900745573159366,9.766076421248835,20958,31,0.014445479962721343,5092.78
Referral,27,2136,1949,0.9124531835205992,3.981741573033708,4.526685393258427,9669,1,0.00046816479400749064,753.48
Organic Social,05,2072,1873,0.903957528957529,18.977799227799228,12.866312741312742,26659,14,0.005308880308880309,2346.27
Organic Social,06,2056,1832,0.8910505836575876,21.082684824902724,13.870136186770427,28517,28,0.013618677042801557,3640.57
Organic Social,04,2039,1729,0.8479646885728298,13.645904855321236,10.986758214811182,22402,7,0.0034330554193231977,1353.04
Organic Social,24,1997,1603,0.8027040560841262,22.019028542814223,8.518778167250876,17012,52,0.026039058587881823,7524.93
Referral,25,1986,1841,0.9269889224572004,1.3131923464249748,4.11127895266868,8165,0,0,0
Organic Social,07,1854,1477,0.796655879180151,15.57173678532902,11.686084142394822,21666,28,0.015102481121898598,4138.68
Organic Social,25,1832,1681,0.9175764192139738,24.222707423580786,9.611353711790393,17608,33,0.018013100436681223,3606.42
Organic Social,31,1800,1490,0.8277777777777777,7.129444444444444,5.977222222222222,10759,4,0.0022222222222222222,469.92
Organic Social,37,1762,1078,0.6118047673098751,29.158910329171395,10.147559591373438,17880,14,0.007945516458569807,2025.8
Organic Social,33,1722,1404,0.8153310104529616,17.78048780487805,8.046457607433217,13856,19,0.011033681765389082,1834.11
Organic Social,23,1630,1254,0.7693251533742331,17.148466257668712,7.75398773006135,12639,21,0.012883435582822086,2727.72
Organic Social,26,1512,1380,0.9126984126984127,26.302248677248677,9.914021164021165,14990,44,0.0291005291005291,5199.67
Organic Social,38,1425,842,0.5908771929824561,15.676491228070175,8.413333333333334,11989,6,0.004210526315789474,771.43
Organic Social,27,1409,1184,0.8403122782114976,17.151880766501066,8.472675656493967,11938,20,0.014194464158977998,2928.97
Organic Social,35,1294,934,0.7217928902627512,25.105873261205563,9.363987635239567,12117,30,0.02241112828438949,4046.92
Organic Social,36,1222,805,0.6587561374795418,33.00245499181669,10.762684124386253,13152,31,0.02536824877250409,2938
Email,12,1100,903,0.8209090909090909,42.3,15.25,16775,44,0.04,13374.483532
Organic Social,28,1098,863,0.7859744990892532,12.186703096539162,7.127504553734062,7826,7,0.006375227686703097,990.86
Organic Social,30,1098,820,0.7468123861566485,9.66575591985428,6.67304189435337,7327,2,0.0018214936247723133,596
Paid Social,48,1036,569,0.5492277992277992,44.754826254826256,14.261583011583012,14775,29,0.015444015444015444,4015.27
Organic Social,32,1027,882,0.8588120740019474,12.351509250243428,6.793573515092502,6977,6,0.005842259006815969,1609.27
Direct,12,1000,893,0.893,38.073,12.208,12208,28,0.028,5734.64
Email,28,919,694,0.7551686615886833,27.831338411316647,9.309031556039173,8555,28,0.029379760609358,6191.1
Cross-network,02,912,890,0.9758771929824561,37.223684210526315,17.33114035087719,15806,15,0.01644736842105263,1377.56
Organic Social,29,898,683,0.7605790645879733,12.202672605790646,6.853006681514477,6154,9,0.01002227171492205,2417.14
Organic Social,34,891,708,0.7946127946127947,20.916947250280582,9.0662177328844,8078,21,0.02356902356902357,3045.08
Direct,35,875,412,0.47085714285714286,24.686857142857143,7.684571428571428,6724,21,0.024,3862.44
Direct,10,860,824,0.958139534883721,46.94767441860465,18.52674418604651,15933,43,0.047674418604651166,8666.067395
Direct,11,833,751,0.9015606242496998,32.21968787515006,13.117647058823529,10927,9,0.010804321728691477,3477.06
Cross-network,03,819,798,0.9743589743589743,30.923076923076923,15.724053724053723,12878,9,0.01098901098901099,1583.56
Organic Social,47,806,447,0.5545905707196029,7.444168734491315,7.738213399503722,6237,6,0.0037220843672456576,1232.9
Organic Social,39,790,378,0.47848101265822784,17.21139240506329,8.369620253164557,6612,0,0,0
Direct,21,788,700,0.8883248730964467,34.421319796954315,10.40989847715736,8203,28,0.03553299492385787,6436.08
Direct,09,776,721,0.9291237113402062,37.08634020618557,14.538659793814434,11282,24,0.030927835051546393,5269.74
