# ----------------------------------------
# User acquisition: First user primary channel group (Default Channel Group)
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
# 
# All Users
# Start date: 20240101
# End date: 20241231
First user primary channel group (Default Channel Group),Week,Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Email,37,78891,83810,54,35.60365567681992,0.8794285786718383,884903,3,0.000038027151386089666
Email,45,53336,54530,205,11.357469626518673,0.7364256787160642,347910,31,0.0005812209389530524
Email,36,25860,27327,126,36.17675947409126,0.8947795823665893,304303,26,0.0006960556844547563
Direct,45,9450,358,116,24.316809659993645,0.05836246160364368,52463,15,0.0015888147442008262
Paid Social,17,7626,3522,1302,46.52909354796147,1.1992347275366144,183100,63,0.008180498746536482
Paid Social,18,6301,2874,1186,40.06209987195903,1.1691741357234315,131704,41,0.006562099871959027
Direct,25,5701,4601,785,33.48849868305531,1.1025460930640913,78100,23,0.0038630377524143987
Organic Social,41,5701,4946,1105,24.502464788732393,1.0764084507042253,80582,6,0.0007042253521126761
Organic Social,38,5415,4777,925,16.218992965568308,1.0890410958904109,71008,12,0.001480932987782303
Organic Social,42,5327,4473,1009,17.003783579265985,1.0198637911464246,64229,6,0.0009458948164964056
Organic Social,36,5303,4684,1027,17.956948640483382,1.1074395770392749,66085,12,0.0013217522658610272
Paid Social,16,5217,2539,611,55.732036216528606,1.1462146021961086,136484,69,0.0111731843575419
Organic Social,39,4850,4075,1052,18.204432477216237,1.063794531897266,62939,9,0.001035625517812759
Cross-network,25,4544,2740,405,13.676943404536445,0.9240255450341335,27967,4,0.0008808632459810614
Organic Social,37,4426,3647,1055,18.91271820448878,1.076626615279982,57582,16,0.0022670596236681025
Organic Social,35,4411,4004,702,18.95144745839982,1.0736266241167085,58163,25,0.003647139275131069
Organic Social,34,3836,3622,413,19.036377911541482,1.0348076419785397,47238,18,0.003140539125883277
Organic Social,52,3737,3229,658,20.237041036717063,1.05048596112311,56105,23,0.006209503239740821
Organic Social,40,3706,3008,912,22.051930396954866,1.0377922784121805,52086,7,0.001087547580206634
Organic Social,51,3370,2896,476,11.262469586374696,0.9750608272506083,35314,12,0.0036496350364963502
Organic Social,50,3184,2721,505,12.115644073241246,0.9791198201092194,35409,12,0.0032123353678123997
