"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (USD)",Purchases,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Meta leads","Purchase ROAS (return on ad spend)","Campaign name"
2026-05-11,2026-05-11,"IMAGE_BOF_FW25 Image 18 American Renegade",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,2026-04-14T09:09:11-0700,-,-,-,"IMAGES_FW25 Lifestyle Campaign",,,MF_SALES_CREATIVES
2026-05-11,2026-05-11,"VIDEO_TOF_ Voiceover Fit That Stays Perfect",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,2026-04-14T09:09:11-0700,-,-,-,"VIDEO_Voiceover Brand Focus",,,MF_SALES_CREATIVES
2026-05-11,2026-05-11,"IMAGES_BOF_H25 6 with Carousel and Email Promotion",archived,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,2026-04-14T09:09:11-0700,-,-,-,"IMAGES_FW25 Lifestyle Campaign",,,MF_SALES_CREATIVES
2026-05-11,2026-05-11,"IMAGE_CORE_BRANDO INDIGO_ Product Focus",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,2026-04-14T09:09:11-0700,-,-,-,"IMAGES_Brand + Product Focus",,,MF_SALES_CREATIVES
2026-05-11,2026-05-11,"SPA - H25 - Video - Variant 2",not_delivering,,,,50,Daily,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-04-23T09:03:25-0700,-,-,-,"1% Blended LALs - All Customers",,,"US - NCA - LTF - Prospecting"
2026-05-11,2026-05-11,"SPA - David Antonio - UGC - Partnership Ad - Variant 1",active,,,,15,Daily,16.42,368,183,2.010929,44.619565,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-09T22:55:03-0700,-,-,-,Plat30,,,"US - NCA - MLSI - Retargeting"
2026-05-11,2026-05-11,"IMAGES_Comfort You Notice 2",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,2026-04-14T09:09:11-0700,-,-,-,"IMAGES_Brand Selling Point",,,MF_SALES_CREATIVES
2026-05-11,2026-05-11,"IMAGES_Dad Duty Essentials",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,2026-04-14T09:09:11-0700,-,-,-,"IMAGES_Brand Selling Point",,,MF_SALES_CREATIVES
2026-05-11,2026-05-11,"SPA - Refined Ease - Static - Variant 1",active,1,actions:offsite_conversion.fb_pixel_purchase,58.76,260,Daily,58.76,499,398,1.253769,117.755511,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-04-23T09:03:09-0700,-,-,-,"1% Blended LALs - Non Sale Customers",,4.220558,"US - NCA - LTF - Prospecting"
2026-05-11,2026-05-11,"SPA - Weekend Uniform - Static - Variant 1",active,,,,260,Daily,151.38,1286,1031,1.247333,117.713841,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-04-23T09:03:09-0700,-,-,-,"1% Blended LALs - Non Sale Customers",,,"US - NCA - LTF - Prospecting"
