"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (USD)",Purchases,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Meta leads","Purchase ROAS (return on ad spend)","Campaign name"
2023-02-05,2026-03-05,"Conv - Static - Wax Coated Dean Jacket 12/22",archived,,,,70,Daily,0.19,19,15,1.266667,10,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"MF - DUP - BROAD",,,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - Static - Greyson Red Leopard 12/22 - Copy",archived,3,actions:offsite_conversion.fb_pixel_purchase,60.22666667,70,Daily,180.68,7706,5435,1.417847,23.446665,3,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"MF - DUP - BROAD",,2.149103,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - GIF - Parisian Luxe 12/22 - Copy",archived,,,,70,Daily,43.43,1030,628,1.640127,42.165049,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"MF - DUP - BROAD",,,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - Static - Wax Coated Dean Jacket 12/22",archived,1,actions:offsite_conversion.fb_pixel_purchase,158.28,70,Daily,158.28,6487,3511,1.847622,24.399568,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - MOF - All Website Visitors +PV +CV",,2.653525,"C12 - Remarketing"
2023-02-05,2026-03-05,"Conv - Static - Hoodie H22 12/22",archived,1,actions:offsite_conversion.fb_pixel_purchase,88.56,70,Daily,88.56,2701,1641,1.645948,32.787856,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - MOF - All Website Visitors +PV +CV",,2.380307,"C12 - Remarketing"
2023-02-05,2026-03-05,"Conv - Static - Wax Coated Dean Jacket 12/22",archived,,,,80,Daily,127.39,1246,361,3.451524,102.239165,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - BOF - Past Purchasers + PP Email 180 days",,,"C12 - Remarketing"
2023-02-05,2026-03-05,"Conv - Static - Hoodie H22 12/22",archived,4,actions:offsite_conversion.fb_pixel_purchase,133.9525,80,Daily,535.81,9348,731,12.787962,57.318143,4,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - BOF - Past Purchasers + PP Email 180 days",,2.337769,"C12 - Remarketing"
2023-02-05,2026-03-05,"Conv - Static - Hoodie H22 1/23",archived,1,actions:offsite_conversion.fb_pixel_purchase,805.8,80,Daily,805.8,48847,33930,1.43964,16.496407,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - Cold -  Men's Fashion Magazine",,0.087491,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - Static - Greyson Red Leopard 1/23",archived,,,,80,Daily,102.22,4827,4003,1.205846,21.176714,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - Cold -  Men's Fashion Magazine",,,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - Static - Greyson Red Leopard 1/23",archived,,,,80,Daily,269.04,14337,11290,1.269885,18.765432,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - Cold - M. Luxury Interest Income 10-25%",,,"C12 - Cold Prospecting (interest)"
