"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (USD)",Purchases,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Meta leads","Purchase ROAS (return on ad spend)","Campaign name"
2026-03-15,2026-03-15,"IMAGE_BOF_FW25 Image 18 American Renegade",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-09T14:15:23-0800,-,-,-,"IMAGES_FW25 Lifestyle Campaign",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"VIDEO_TOF_ Voiceover Fit That Stays Perfect",active,,,,"Using campaign budget",0,0.2,10,9,1.111111,20,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,2026-03-03T16:31:31-0800,-,-,-,"VIDEO_Voiceover Brand Focus",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"IMAGES_BOF_H25 6 with Carousel and Email Promotion",archived,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-09T14:15:23-0800,-,-,-,"IMAGES_FW25 Lifestyle Campaign",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"IMAGE_CORE_BRANDO INDIGO_ Product Focus",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2026-03-04T13:22:06-0800,-,-,-,"IMAGES_Brand + Product Focus",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"IMAGES_DENIM_All Day Denim 1",active,,,,"Using campaign budget",0,7.34,260,192,1.354167,28.230769,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,2026-03-04T13:15:34-0800,-,-,-,"IMAGES_Product USP",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"IMAGES_Precision Meets Comfort",active,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,0,-,-,-,"IMAGES_Brand Selling Point",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"IMAGES_BSUEDE_Suede That Moves 1",active,,,,"Using campaign budget",0,0.83,21,19,1.105263,39.52381,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,2026-03-04T13:15:34-0800,-,-,-,"IMAGES_Product USP",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"Instagram post: The renegade’s uniform for Fall....",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,,2025-12-17,-,0,ABSOLUTE_OCPM,0,-,-,-,"Instagram post: The renegade’s uniform for Fall....",,,"Instagram post: The renegade’s uniform for Fall...."
2026-03-15,2026-03-15,"IMAGE_BOF_FW25 Image 17 American Renegade",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-09T14:15:23-0800,-,-,-,"IMAGES_FW25 Lifestyle Campaign",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"VIDEO_TOF_ Voiceover Curating Image",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2026-03-03T16:31:31-0800,-,-,-,"VIDEO_Voiceover Brand Focus",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,CATALOGUE_SLIDESHOW_TEXT2,active,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2026-03-06T21:05:11-0800,-,-,-,"CATALOGUE_Prospecting DABA All Products",,,MF_SALES_CATALOGUE
2026-03-15,2026-03-15,"IMAGE_H25_COLLAGE_ Brand Focus",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2026-03-04T13:22:06-0800,-,-,-,"IMAGES_Brand + Product Focus",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"VIDEO_TOF_PF25 Voiceover Brand Focus",archived,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,0,-,-,-,"VIDEO_Add to Cart",,,"MF_SALES_ADD TO CART TESTING"
2026-03-15,2026-03-15,"IMAGE_FW25_FLAT_Product Focus The Brando",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2026-03-04T13:22:06-0800,-,-,-,"IMAGES_Brand + Product Focus",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"IMAGES_BSUEDE_Suede That Moves 2",active,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2026-03-04T13:15:34-0800,-,-,-,"IMAGES_Product USP",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"VIDEO_BFNEW30 1",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,,2025-12-04,-,0,ABSOLUTE_OCPM,2025-12-02T12:51:05-0800,-,-,-,"Black Friday 30% OFF New Customers",,,"MF_SALES_BLACK FRIDAY"
2026-03-15,2026-03-15,"IMAGE_BOF_FW25 Image 16 American Renegade",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-09T14:15:23-0800,-,-,-,"IMAGES_FW25 Lifestyle Campaign",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"VIDEO_TOF_ Voiceover Built For Real Life",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2026-03-03T16:31:31-0800,-,-,-,"VIDEO_Voiceover Brand Focus",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,CATALOGUE_TEXT2,active,,,,"Using campaign budget",0,0.49,31,23,1.347826,15.806452,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,2026-03-06T21:05:11-0800,-,-,-,"CATALOGUE_Prospecting DABA All Products",,,MF_SALES_CATALOGUE
2026-03-15,2026-03-15,"IMAGE_FW25_COLLAGE 2_ Brand Focus",active,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2026-03-04T13:22:06-0800,-,-,-,"IMAGES_Brand + Product Focus",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"VIDEO_TOF_H25 Voiceover Brand Focus 1",archived,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,0,-,-,-,"VIDEO_Add to Cart",,,"MF_SALES_ADD TO CART TESTING"
2026-03-15,2026-03-15,"IMAGE_FW25_FLAT_Product Focus The Clint",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2026-03-04T13:22:06-0800,-,-,-,"IMAGES_Brand + Product Focus",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"IMAGES_DENIM_All Day Denim 2",active,1,actions:offsite_conversion.fb_pixel_purchase,53.82,"Using campaign budget",0,53.82,1422,915,1.554098,37.848101,1,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,2026-03-04T13:15:34-0800,-,-,-,"IMAGES_Product USP",,4.0877,MF_SALES_CREATIVES
2026-03-15,2026-03-15,GIF_BFNEW30,not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,,2025-12-04,-,0,ABSOLUTE_OCPM,2025-12-02T12:51:05-0800,-,-,-,"Black Friday 30% OFF New Customers",,,"MF_SALES_BLACK FRIDAY"
2026-03-15,2026-03-15,"IMAGE_BOF_FW25 Image 15 American Renegade",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-09T14:15:23-0800,-,-,-,"IMAGES_FW25 Lifestyle Campaign",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"IMAGES_Holiday Gift Card 4",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,2026-01-06,-,0,ABSOLUTE_OCPM,2025-12-17T14:00:45-0800,-,-,-,IMAGES_Promotions,,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,CATALOGUE,active,,,,"Using campaign budget",0,24.34,969,642,1.509346,25.118679,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,2026-03-06T21:05:11-0800,-,-,-,"CATALOGUE_Prospecting DABA All Products",,,MF_SALES_CATALOGUE
2026-03-15,2026-03-15,"IMAGE_CORE_PLUXE NAVY_ Product Focus",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2026-03-04T13:22:06-0800,-,-,-,"IMAGES_Brand + Product Focus",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"VIDEO_TOF_H25 Voiceover Brand Focus 2",archived,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,0,-,-,-,"VIDEO_Add to Cart",,,"MF_SALES_ADD TO CART TESTING"
2026-03-15,2026-03-15,"VIDEO_MOF_Lifestyle Core Collection Music Clean",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2026-03-04T13:17:08-0800,-,-,-,"VIDEO_Brand + Product Focus",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"IMAGES_DENIM_All Day Denim 3",active,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2026-03-04T13:15:34-0800,-,-,-,"IMAGES_Product USP",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"VIDEO_Black Friday 4",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,,2025-12-08,-,0,ABSOLUTE_OCPM,2025-12-02T12:51:39-0800,-,-,-,"Black Friday Final Sale",,,"MF_SALES_BLACK FRIDAY"
2026-03-15,2026-03-15,"Instagram post: Keeping it clean and basic with...",active,24,profile_visit_view,0.29708333,"Using campaign budget",0,7.13,443,435,1.018391,16.094808,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram post: Keeping it clean and basic with...",,,"Instagram post: Keeping it clean and basic with..."
2026-03-15,2026-03-15,"IMAGES_Holiday Gift Card 3",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,2026-01-06,-,0,ABSOLUTE_OCPM,2025-12-17T14:00:45-0800,-,-,-,IMAGES_Promotions,,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,CATALOGUE_SLIDESHOW,active,,,,"Using campaign budget",0,20.41,853,480,1.777083,23.927315,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,2026-03-06T21:05:11-0800,-,-,-,"CATALOGUE_Prospecting DABA All Products",,,MF_SALES_CATALOGUE
2026-03-15,2026-03-15,"VIDEO_MOF_ Voiceover Butter Suede New",active,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2026-03-04T13:08:18-0800,-,-,-,"VIDEO_Voiceover Product Focus",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"VIDEO_TOF_FW25 Voiceover Brand Focus 1",archived,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,0,-,-,-,"VIDEO_Add to Cart",,,"MF_SALES_ADD TO CART TESTING"
2026-03-15,2026-03-15,"VIDEO_BOF_Studio Dean Steel Clean",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2026-01-19T12:16:07-0800,-,-,-,"VIDEO_Studio Product Focus",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"IMAGES_Comfort You Notice 2",active,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,0,-,-,-,"IMAGES_Brand Selling Point",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"VIDEO_Black Friday 4",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,,2025-12-08,-,0,ABSOLUTE_OCPM,2025-12-02T12:51:39-0800,-,-,-,"Black Friday Final Sale",,,"MF_SALES_BLACK FRIDAY"
2026-03-15,2026-03-15,"IMAGE_BOF_FW25 Image 14 American Renegade",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-09T14:15:23-0800,-,-,-,"IMAGES_FW25 Lifestyle Campaign",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"IMAGES_Holiday Gift Card 2",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,2026-01-06,-,0,ABSOLUTE_OCPM,2025-12-17T14:00:45-0800,-,-,-,IMAGES_Promotions,,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"VIDEO_TOF_H25 Voiceover Brand Focus 2",active,,,,"Using campaign budget",0,0.02,1,1,1,20,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,2026-03-03T16:31:31-0800,-,-,-,"VIDEO_Voiceover Brand Focus",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"VIDEO_MOF_ Voiceover Parisian Luxe New",active,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2026-03-04T13:08:18-0800,-,-,-,"VIDEO_Voiceover Product Focus",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"VIDEO_TOF_FW25 Voiceover Brand Focus 2",archived,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,0,-,-,-,"VIDEO_Add to Cart",,,"MF_SALES_ADD TO CART TESTING"
2026-03-15,2026-03-15,"VIDEO_BOF_Studio Eastwood Plum Clean",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2026-01-19T12:16:07-0800,-,-,-,"VIDEO_Studio Product Focus",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"IMAGES_Comfort You Notice 1",active,,,,"Using campaign budget",0,57.8,1265,852,1.484742,45.6917,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,0,-,-,-,"IMAGES_Brand Selling Point",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"VIDEO_Black Friday 3",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,,2025-12-08,-,0,ABSOLUTE_OCPM,2025-12-02T12:51:39-0800,-,-,-,"Black Friday Final Sale",,,"MF_SALES_BLACK FRIDAY"
2026-03-15,2026-03-15,"IMAGE_BOF_FW25 Image 13 American Renegade",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-09T14:15:23-0800,-,-,-,"IMAGES_FW25 Lifestyle Campaign",,,MF_SALES_CREATIVES
2026-03-15,2026-03-15,"IMAGES_Holiday Gift Card 1",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,2026-01-06,-,0,ABSOLUTE_OCPM,2025-12-17T14:00:45-0800,-,-,-,IMAGES_Promotions,,,MF_SALES_CREATIVES
