Day,"Campaign name","Ad set name","Ad name","Page name",Ads,Gender,Age,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (USD)","Cost per result",Starts,Ends,"Reporting starts","Reporting ends"
2024-12-31,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,45-54,archived,ad,3,3,1,"7-day click or 1-day view",,,0.03,,2023-03-20,Ongoing,2024-12-31,2024-12-31
2024-12-31,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,35-44,archived,ad,6,6,1,"7-day click or 1-day view","Post engagements",1,0.02,0.02,2023-03-20,Ongoing,2024-12-31,2024-12-31
2024-12-31,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,45-54,archived,ad,1,1,1,"7-day click or 1-day view","Post engagements",1,0.01,0.01,2023-03-20,Ongoing,2024-12-31,2024-12-31
2024-12-31,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,55-64,archived,ad,2,2,1,"7-day click or 1-day view",,,0.03,,2023-03-20,Ongoing,2024-12-31,2024-12-31
2024-12-31,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,25-34,archived,ad,2,2,1,"7-day click or 1-day view",,,0.02,,2023-03-20,Ongoing,2024-12-31,2024-12-31
2024-12-31,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,55-64,archived,ad,3,3,1,"7-day click or 1-day view",,,0,,2023-03-20,Ongoing,2024-12-31,2024-12-31
2024-12-31,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,35-44,archived,ad,8,8,1,"7-day click or 1-day view","Post engagements",1,0.06,0.06,2023-03-20,Ongoing,2024-12-31,2024-12-31
2024-12-31,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,45-54,archived,ad,6,6,1,"7-day click or 1-day view","Post engagements",3,0.07,0.02333333,2023-03-20,Ongoing,2024-12-31,2024-12-31
2024-12-31,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,18-24,archived,ad,15,15,1,"7-day click or 1-day view","Post engagements",1,0.16,0.16,2023-03-20,Ongoing,2024-12-31,2024-12-31
2024-12-31,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,65+,archived,ad,2,2,1,"7-day click or 1-day view",,,0.01,,2023-03-20,Ongoing,2024-12-31,2024-12-31
2024-12-31,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,65+,archived,ad,2,2,1,"7-day click or 1-day view","Post engagements",2,0.02,0.01,2023-03-20,Ongoing,2024-12-31,2024-12-31
2024-12-31,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,18-24,archived,ad,17,17,1,"7-day click or 1-day view","Post engagements",3,0.09,0.03,2023-03-20,Ongoing,2024-12-31,2024-12-31
2024-12-31,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,25-34,archived,ad,5,5,1,"7-day click or 1-day view","Post engagements",2,0.05,0.025,2023-03-20,Ongoing,2024-12-31,2024-12-31
2024-12-31,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,25-34,archived,ad,7,8,1.14285714,"7-day click or 1-day view","Post engagements",3,0.08,0.02666667,2023-03-20,Ongoing,2024-12-31,2024-12-31
2024-12-30,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,18-24,archived,ad,155,156,1.00645161,"7-day click or 1-day view","Post engagements",33,1.43859238,0.04359371,2023-03-20,Ongoing,2024-12-30,2024-12-30
2024-12-30,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,45-54,archived,ad,1,1,1,"7-day click or 1-day view","Post engagements",1,0.01998045,0.01998045,2023-03-20,Ongoing,2024-12-30,2024-12-30
2024-12-30,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,18-24,archived,ad,12,12,1,"7-day click or 1-day view","Post engagements",6,0.09990225,0.01665037,2023-03-20,Ongoing,2024-12-30,2024-12-30
2024-12-30,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,35-44,archived,ad,13,13,1,"7-day click or 1-day view","Post engagements",3,0.09990225,0.03330075,2023-03-20,Ongoing,2024-12-30,2024-12-30
2024-12-30,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,25-34,archived,ad,470,484,1.02978723,"7-day click or 1-day view","Post engagements",86,4.43565982,0.05157744,2023-03-20,Ongoing,2024-12-30,2024-12-30
2024-12-30,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,18-24,archived,ad,184,192,1.04347826,"7-day click or 1-day view","Post engagements",29,1.6084262,0.05546297,2023-03-20,Ongoing,2024-12-30,2024-12-30
2024-12-30,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,55-64,archived,ad,1,1,1,"7-day click or 1-day view",,,0.0399609,,2023-03-20,Ongoing,2024-12-30,2024-12-30
2024-12-30,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,25-34,archived,ad,199,203,1.0201005,"7-day click or 1-day view","Post engagements",34,1.96807429,0.05788454,2023-03-20,Ongoing,2024-12-30,2024-12-30
2024-12-30,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,35-44,archived,ad,32,33,1.03125,"7-day click or 1-day view","Post engagements",4,0.2797263,0.06993157,2023-03-20,Ongoing,2024-12-30,2024-12-30
2024-12-30,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,25-34,archived,ad,23,23,1,"7-day click or 1-day view","Post engagements",2,0.1598436,0.0799218,2023-03-20,Ongoing,2024-12-30,2024-12-30
2024-12-30,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,45-54,archived,ad,2,2,1,"7-day click or 1-day view",,,0.01998045,,2023-03-20,Ongoing,2024-12-30,2024-12-30
2024-12-30,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,65+,archived,ad,2,2,1,"7-day click or 1-day view","Post engagements",1,0.02997067,0.02997067,2023-03-20,Ongoing,2024-12-30,2024-12-30
2024-12-30,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,55-64,archived,ad,1,1,1,"7-day click or 1-day view","Post engagements",1,0.01998045,0.01998045,2023-03-20,Ongoing,2024-12-30,2024-12-30
