Raw Product String,Parsed_Fabric,Parsed_Body,Parsed_Color,Parsed_Size
Cooper Butter Suede Juniper - Juniper / S,Butter Suede,Cooper,Juniper,S
Cooper Butter Suede Espresso,Butter Suede,Cooper,Espresso,Unknown
Cooper Butter Suede Noir - Suede Noir / XXL,Butter Suede,Cooper,Noir,XXL
Cooper Butter Suede Noir,Butter Suede,Cooper,Noir,Unknown
Cooper Butter Suede Espresso - Suede Espresso / M,Butter Suede,Cooper,Espresso,M
Cooper Butter Suede Espresso - Suede Espresso / XL,Butter Suede,Cooper,Espresso,XL
Cooper Butter Suede Noir - Suede Noir / S,Butter Suede,Cooper,Noir,S
Cooper Butter Suede Noir - Suede Noir / L,Butter Suede,Cooper,Noir,L
Cooper Butter Suede Juniper - Juniper / M,Butter Suede,Cooper,Juniper,M
Cooper Butter Suede Juniper - Juniper / XXL,Butter Suede,Cooper,Juniper,XXL
Cooper Butter Suede Juniper,Butter Suede,Cooper,Juniper,Unknown
Cooper Butter Suede Noir - Suede Noir / M,Butter Suede,Cooper,Noir,M
Cooper Butter Suede Espresso - Suede Espresso / XXL,Butter Suede,Cooper,Espresso,XXL
Cooper Butter Suede Espresso - Suede Espresso / S,Butter Suede,Cooper,Espresso,S
Cooper Butter Suede Espresso - Suede Espresso / L,Butter Suede,Cooper,Espresso,L
Dean Butter Suede Noir - Suede Noir / M,Butter Suede,Dean,Noir,M
Dean Butter Suede Noir - Suede Noir / L,Butter Suede,Dean,Noir,L
Dean Butter Suede Steel - Steel / L,Butter Suede,Dean,Steel,L
Dean Butter Suede Khaki,Butter Suede,Dean,Khaki,Unknown
Dean Butter Suede Khaki - Khaki / XXL,Butter Suede,Dean,Khaki,XXL
Dean Butter Suede Noir,Butter Suede,Dean,Noir,Unknown
Dean Butter Suede Khaki - Khaki / S,Butter Suede,Dean,Khaki,S
Dean Butter Suede Noir - Suede Noir / XXL,Butter Suede,Dean,Noir,XXL
Dean Butter Suede Noir - Suede Noir / S,Butter Suede,Dean,Noir,S
Dean Butter Suede Steel - Steel / XXL,Butter Suede,Dean,Steel,XXL
Dean Butter Suede Noir - Suede Noir / XL,Butter Suede,Dean,Noir,XL
Dean Butter Suede Steel - Steel / M,Butter Suede,Dean,Steel,M
Dean Butter Suede Khaki - Khaki / L,Butter Suede,Dean,Khaki,L
Dean Butter Suede Steel - Steel / XL,Butter Suede,Dean,Steel,XL
Dean Butter Suede Khaki - Khaki / XL,Butter Suede,Dean,Khaki,XL
Dean Butter Suede Khaki - Khaki / M,Butter Suede,Dean,Khaki,M
Eastwood Butter Suede Khaki - Khaki / M,Butter Suede,Eastwood,Khaki,M
Eastwood Butter Suede Navy - Navy / M,Butter Suede,Eastwood,Navy,M
Eastwood Butter Suede Vintage Blanc - Suede Vintage Blanc / XL,Butter Suede,Eastwood,Vintage Blanc,XL
Eastwood Butter Suede Navy - Navy / L,Butter Suede,Eastwood,Navy,L
Eastwood Butter Suede Steel,Butter Suede,Eastwood,Steel,Unknown
Eastwood Butter Suede Vintage Blanc - Suede Vintage Blanc / XXL,Butter Suede,Eastwood,Vintage Blanc,XXL
Eastwood Butter Suede Steel - Steel / S,Butter Suede,Eastwood,Steel,S
Eastwood Butter Suede Navy,Butter Suede,Eastwood,Navy,Unknown
Eastwood Butter Suede Steel - Steel / L,Butter Suede,Eastwood,Steel,L
Eastwood Butter Suede Vintage Blanc,Butter Suede,Eastwood,Vintage Blanc,Unknown
Eastwood Butter Suede Navy - Navy / XXL,Butter Suede,Eastwood,Navy,XXL
Eastwood Butter Suede Navy - Navy / XL,Butter Suede,Eastwood,Navy,XL
Eastwood Butter Suede Noir - Noir Suede / M,Butter Suede,Eastwood,Noir,M
Eastwood Butter Suede Steel - Steel / M,Butter Suede,Eastwood,Steel,M
Eastwood Butter Suede Navy - Navy / S,Butter Suede,Eastwood,Navy,S
Eastwood Butter Suede Steel Blue - Steel Blue / M,Butter Suede,Eastwood,Steel Blue,M
Eastwood Butter Suede Steel Blue,Butter Suede,Eastwood,Steel Blue,Unknown
Eastwood Butter Suede Vintage Blanc - Suede Vintage Blanc / L,Butter Suede,Eastwood,Vintage Blanc,L
Eastwood Butter Suede Noir - Noir Suede / XL,Butter Suede,Eastwood,Noir,XL
Eastwood Butter Suede Steel - Steel / XXL,Butter Suede,Eastwood,Steel,XXL
Eastwood Butter Suede Steel Blue - Steel Blue / S,Butter Suede,Eastwood,Steel Blue,S
Eastwood Butter Suede Steel Blue - Steel Blue / XL,Butter Suede,Eastwood,Steel Blue,XL
Eastwood Butter Suede Steel Blue - Steel Blue / L,Butter Suede,Eastwood,Steel Blue,L
Eastwood Butter Suede Vintage Blanc - Suede Vintage Blanc / M,Butter Suede,Eastwood,Vintage Blanc,M
Maverick Butter Suede Taupe - Suede Taupe / XXL,Butter Suede,Maverick,Taupe,XXL
Maverick Butter Suede Noir - Suede Noir / XL,Butter Suede,Maverick,Noir,XL
Maverick Butter Suede Noir - Suede Noir / S,Butter Suede,Maverick,Noir,S
Maverick Butter Suede Cool Grey - Cool Grey / XXL,Butter Suede,Maverick,Cool Grey,XXL
Maverick Butter Suede Noir - Suede Noir / XXL,Butter Suede,Maverick,Noir,XXL
Maverick Butter Suede Noir - Suede Noir / L,Butter Suede,Maverick,Noir,L
Maverick Butter Suede Cool Grey,Butter Suede,Maverick,Cool Grey,Unknown
Maverick Butter Suede Cool Grey - Cool Grey / M,Butter Suede,Maverick,Cool Grey,M
Maverick Butter Suede Taupe,Butter Suede,Maverick,Taupe,Unknown
Maverick Butter Suede Taupe - Suede Taupe / S,Butter Suede,Maverick,Taupe,S
Maverick Butter Suede Cool Grey - Cool Grey / L,Butter Suede,Maverick,Cool Grey,L
Maverick Butter Suede Taupe - Suede Taupe / XL,Butter Suede,Maverick,Taupe,XL
Maverick Butter Suede Noir - Suede Noir / M,Butter Suede,Maverick,Noir,M
Maverick Butter Suede Cool Grey - Cool Grey / S,Butter Suede,Maverick,Cool Grey,S
Maverick Butter Suede Noir,Butter Suede,Maverick,Noir,Unknown
Maverick Butter Suede Taupe - Suede Taupe / L,Butter Suede,Maverick,Taupe,L
Maverick Butter Suede Taupe - Suede Taupe / M,Butter Suede,Maverick,Taupe,M
Noah Butter Suede Ivory - Ivory / L,Butter Suede,Noah,Ivory,L
Noah Butter Suede Cool Grey - Cool Grey / L,Butter Suede,Noah,Cool Grey,L
