"Week","Session region","Session city","Online store visitors","Sessions"
"2025-12-01","New York","New York",245,250
"2025-12-01","California","Temecula",177,177
"2025-11-24","New York","New York",154,159
"2025-12-01","New York","Brooklyn",153,154
"2025-12-01",,,144,144
"2025-12-01","California","Thousand Oaks",107,107
"2025-12-01","California","Los Angeles",91,91
"2025-12-01","Illinois","Chicago",84,84
"2025-12-01","Florida","Miami",82,82
"2025-12-01","Georgia","Atlanta",67,67
"2025-12-01","Pennsylvania","Philadelphia",67,67
"2025-12-01","California","Pasadena",64,64
"2025-11-24",,,58,59
"2025-12-01","New York","Queens",54,55
"2025-12-01","Texas","Houston",51,51
"2025-12-01","Iowa","Council Bluffs",44,44
"2025-12-01","District of Columbia","Washington",43,43
"2025-11-24","Illinois","Chicago",41,41
"2025-12-01","Oregon","Portland",37,37
"2025-12-01","Arizona","Phoenix",37,37
"2025-12-01","Tennessee","Nashville",34,34
"2025-12-01","New York","Great Neck",33,34
"2025-12-01","Texas","Dallas",33,33
"2025-12-01","Georgia","Social Circle",33,33
"2025-12-01","Oregon","Boardman",33,33
"2025-11-24","Oregon","Portland",31,31
"2025-11-24","New York","Brooklyn",30,30
"2025-12-01","New Jersey","Hoboken",30,30
"2025-12-01","Falcón","Coro",30,30
"2025-11-24","Pennsylvania","Philadelphia",29,29
"2025-12-01","Florida","Jacksonville",28,28
"2025-12-01","New York","The Bronx",27,27
"2025-12-01","Andalusia","Benalmádena",26,26
"2025-12-01","Nevada","Las Vegas",25,25
"2025-12-01","Texas","Austin",23,23
"2025-12-01","Missouri","Kansas City",23,23
"2025-12-01","Maryland","Beltsville",23,23
"2025-11-24","Massachusetts","Boston",23,23
"2025-12-01","Missouri","Florissant",22,22
"2025-11-24","Georgia","Atlanta",22,22
"2025-11-24","California","Los Angeles",21,22
"2025-12-01","New York","Hicksville",21,21
"2025-11-24","Texas","Dallas",21,21
"2025-12-01","North Carolina","Forest City",21,21
"2025-11-24","Florida","Fort Lauderdale",20,20
"2025-12-01","Florida","Fort Lauderdale",20,20
"2025-12-01","Iowa","Altoona",20,20
"2025-12-01","California","Santa Monica",19,19
"2025-12-01","Georgia","Kennesaw",19,19
"2025-11-24","District of Columbia","Washington",18,18
"2025-12-01","Ohio","Columbus",18,18
"2025-12-01","Washington",,18,18
"2025-11-24","New York","Great Neck",18,18
"2025-12-01","New Jersey","Elizabeth",18,18
"2025-12-01","Florida","Saint Johns",18,18
"2025-12-01","La Paz Department","La Paz",17,17
"2025-12-01","Massachusetts","Boston",17,17
"2025-12-01","Oregon","Prineville",17,17
"2025-12-01","Pennsylvania","Glen Mills",16,16
"2025-12-01","New Jersey","Jersey City",16,16
"2025-12-01","Washington","Spokane",15,16
"2025-12-01","Arizona","Scottsdale",15,15
"2025-11-24","Iowa","Council Bluffs",15,15
"2025-12-01","Texas","Fort Worth",15,15
"2025-12-01","Virginia","Ashburn",15,15
