"Week","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout"
"2024-01-01",69,62,26
"2024-01-08",142,130,67
"2024-01-15",173,161,82
"2024-01-22",160,136,67
"2024-01-29",114,106,56
"2024-02-05",98,90,41
"2024-02-12",80,74,28
"2024-02-19",130,95,42
"2024-02-26",87,69,41
"2024-03-04",79,69,32
"2024-03-11",98,82,36
"2024-03-18",73,49,27
"2024-03-25",97,91,49
"2024-04-01",91,95,40
"2024-04-08",119,141,74
"2024-04-15",327,239,137
"2024-04-22",362,296,153
"2024-04-29",315,368,188
"2024-05-06",96,122,43
"2024-05-13",76,71,36
"2024-05-20",111,93,54
"2024-05-27",92,81,37
"2024-06-03",138,123,69
"2024-06-10",91,78,37
"2024-06-17",397,345,164
"2024-06-24",131,160,55
"2024-07-01",94,96,38
"2024-07-08",45,34,18
"2024-07-15",45,42,26
"2024-07-22",113,83,44
"2024-07-29",87,76,35
"2024-08-05",182,185,102
"2024-08-12",185,191,78
"2024-08-19",109,93,31
"2024-08-26",125,194,63
"2024-09-02",151,189,63
"2024-09-09",83,118,41
"2024-09-16",131,111,46
"2024-09-23",145,109,40
"2024-09-30",71,48,20
"2024-10-07",97,68,37
"2024-10-14",111,84,37
"2024-10-21",75,80,21
"2024-10-28",71,74,23
"2024-11-04",307,275,82
"2024-11-11",193,192,58
"2024-11-18",399,306,120
"2024-11-25",397,353,118
"2024-12-02",216,189,68
"2024-12-09",143,126,33
"2024-12-16",164,134,42
"2024-12-23",313,230,92
"2024-12-30",141,92,39
