"Week","Sessions"
"2024-09-16",5372
"2024-10-07",4932
"2024-06-17",4774
"2024-09-23",4774
"2024-09-02",4026
"2024-08-26",3713
"2024-10-14",3622
"2024-12-23",3481
"2024-09-09",3446
"2024-09-30",3315
"2024-11-18",2817
"2024-12-16",2737
"2024-11-25",2687
"2024-12-09",2640
"2024-08-19",2328
"2024-04-22",2284
"2024-12-02",2266
"2024-04-29",2033
"2024-04-15",2031
"2024-11-11",1968
"2024-10-21",1900
"2024-11-04",1723
"2024-12-30",1678
"2024-10-28",1580
"2024-08-12",1009
"2024-06-03",943
"2024-06-24",847
"2024-01-01",638
"2024-01-08",593
"2024-01-22",581
"2024-05-06",570
"2024-06-10",536
"2024-01-15",512
"2024-08-05",490
"2024-03-11",453
"2024-01-29",438
"2024-07-22",423
"2024-07-29",395
"2024-03-04",391
"2024-02-12",379
"2024-05-27",376
"2024-07-01",280
"2024-02-19",267
"2024-03-18",247
"2024-02-26",235
"2024-03-25",191
"2024-05-13",178
"2024-02-05",159
"2024-07-08",157
"2024-07-15",95
"2024-04-01",92
"2024-05-20",83
"2024-04-08",77
