"Week","Online store visitors","Sessions"
"2024-01-01",2349,2797
"2024-01-08",2439,3037
"2024-01-15",3136,3947
"2024-01-22",3711,4408
"2024-01-29",2357,2833
"2024-02-05",1614,2006
"2024-02-12",1563,1844
"2024-02-19",3996,4601
"2024-02-26",2988,3398
"2024-03-04",2263,2731
"2024-03-11",2520,3048
"2024-03-18",2094,2501
"2024-03-25",1470,1831
"2024-04-01",1407,1827
"2024-04-08",1664,2139
"2024-04-15",5580,6831
"2024-04-22",6181,7790
"2024-04-29",5338,6928
"2024-05-06",2005,2882
"2024-05-13",1517,1924
"2024-05-20",2011,2768
"2024-05-27",2333,2882
"2024-06-03",3341,4093
"2024-06-10",2146,2609
"2024-06-17",9193,11161
"2024-06-24",2926,3933
"2024-07-01",1961,2464
"2024-07-08",1155,1473
"2024-07-15",833,1066
"2024-07-22",1769,2248
"2024-07-29",2110,2600
"2024-08-05",2628,3379
"2024-08-12",3808,5019
"2024-08-19",4408,5251
"2024-08-26",6147,7410
"2024-09-02",60221,61964
"2024-09-09",5146,6218
"2024-09-16",6460,7220
"2024-09-23",5250,6237
"2024-09-30",3901,4516
"2024-10-07",5874,6783
"2024-10-14",5486,6131
"2024-10-21",3622,4092
"2024-10-28",2629,2983
"2024-11-04",6993,7903
"2024-11-11",3085,3822
"2024-11-18",4210,5441
"2024-11-25",4531,5811
"2024-12-02",3622,4457
"2024-12-09",3950,4648
"2024-12-16",4127,4796
"2024-12-23",4873,6007
"2024-12-30",2208,2484
