"Month","Sessions that reached checkout","Sessions that completed checkout","Checkout conversion rate"
"2025-01-01",922,273,0.2960954446854664
"2025-02-01",488,188,0.38524590163934425
"2025-03-01",890,283,0.31797752808988766
"2025-04-01",741,267,0.3603238866396761
"2025-05-01",855,319,0.3730994152046784
"2025-06-01",662,251,0.37915407854984895
"2025-07-01",411,129,0.31386861313868614
"2025-08-01",423,129,0.3049645390070922
"2025-09-01",429,110,0.2564102564102564
"2025-10-01",489,146,0.2985685071574642
"2025-11-01",635,250,0.3937007874015748
"2025-12-01",208,79,0.3798076923076923
