"Week","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout"
"2024-12-30",243,248,73
"2025-01-06",290,307,93
"2025-01-13",170,168,50
"2025-01-20",131,114,30
"2025-01-27",164,107,38
"2025-02-03",167,127,45
"2025-02-10",178,74,33
"2025-02-17",194,158,50
"2025-02-24",245,156,75
"2025-03-03",234,229,68
"2025-03-10",247,223,39
"2025-03-17",233,171,66
"2025-03-24",277,197,76
"2025-03-31",201,154,53
"2025-04-07",213,147,48
"2025-04-14",189,146,50
"2025-04-21",284,217,81
"2025-04-28",252,212,92
"2025-05-05",207,174,66
"2025-05-12",177,133,45
"2025-05-19",334,239,87
"2025-05-26",255,218,81
"2025-06-02",128,107,45
"2025-06-09",221,178,72
"2025-06-16",206,166,63
"2025-06-23",195,170,61
"2025-06-30",194,159,52
"2025-07-07",136,126,28
"2025-07-14",64,50,17
"2025-07-21",66,68,24
"2025-07-28",65,56,18
"2025-08-04",99,77,29
"2025-08-11",101,86,16
"2025-08-18",143,123,39
"2025-08-25",109,107,36
"2025-09-01",114,157,51
"2025-09-08",86,114,23
"2025-09-15",68,77,22
"2025-09-22",44,72,11
"2025-09-29",55,73,21
"2025-10-06",101,126,40
"2025-10-13",61,89,28
"2025-10-20",95,133,37
"2025-10-27",50,91,30
"2025-11-03",76,99,33
"2025-11-10",64,76,34
"2025-11-17",150,193,95
"2025-11-24",165,253,81
"2025-12-01",154,208,79
