"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout"
"Homepage","/",30433,31763,313,476
"Collection","/collections/eligible-2",7533,8671,112,80
"Product","/products/eastwood-navy",5685,5695,3,12
"Product","/products/dean-khaki",5452,5481,4,4
"Custom Page","/pages/contact-us",5453,5457,0,1
"Collection","/collections/new-arrivals-1",3628,3793,21,65
"Collection","/collections/eosale",2641,2756,56,100
"Product","/products/noah-suede-cool-grey",1536,1547,7,3
"Product","/products/bond-shirt-silk-ivory",1305,1432,41,20
"Product","/products/brando-velvet-noir-1",1319,1324,1,4
"Product","/products/jeter-varsity-suede-carolina",1199,1324,23,8
"Collection","/collections/sale-2",1157,1247,24,59
"Product","/products/brando-indigo-1",1150,1155,5,11
"Product","/products/greyson-tinted-indigo-1",1086,1116,10,13
"Product","/products/jalen-vintage-leopard",991,1036,15,19
"Product","/products/brando-noir",1007,1022,8,5
"Collection","/collections/butter-suede",953,996,14,16
"Product","/products/brando-short-mineral-green",932,946,3,2
"Collection","/collections/t-shirts",916,938,5,21
"Collection","/collections/denim",892,913,6,9
"Collection","/collections/bottoms",864,873,6,2
"Product","/products/dean-patent-noir",749,793,9,15
"Product","/products/brando-short-vintage-blanc",772,777,3,2
"Product","/products/eastwood-suede-steel-blue",734,755,10,4
"Collection","/collections/tops",700,707,3,4
"Product","/products/maverick-silk-steel-blue",589,684,20,8
"Product","/products/brando-parisian-luxe-juniper",679,679,0,2
"Collection","/collections/all-products",654,671,4,30
"Product","/products/cooper-suede-espresso",643,656,3,10
"Product","/products/hendrix-calabasas",559,655,26,17
"Product","/products/ryder-sequin-noir",484,640,6,11
"Product","/products/preston-coated-noir",601,637,5,15
"Product","/products/dean-acid-blue",582,619,11,18
"Product","/products/brando-encino",530,537,0,6
"Product","/products/brando-parisian-luxe-navy",511,523,2,4
"Product","/products/brando-ink",495,511,4,4
"Product","/products/cruise-noir",479,499,5,5
"Product","/products/greyson-toulouse",476,488,2,4
"Product","/products/cooper-suede-noir",477,483,1,8
"Product","/products/brando-vail",479,480,2,3
"Product","/products/brando-parisian-luxe-khaki",441,454,4,11
"Product","/products/dean-suede-noir",422,440,2,4
"Collection","/collections/brando-slim-fit",412,421,7,8
"Product","/products/dean-suede-cowhide",401,420,5,12
"Product","/products/greyson-coated-noir",413,415,1,10
"Collection","/collections/parisian-luxe",391,411,3,5
"Product","/products/greyson-noir",350,384,7,11
"Product","/products/eastwood-smokescreen",350,382,13,6
"Product","/products/dann-shirt-noir",345,380,13,15
"Product","/products/cooper-coated-noir",319,354,10,6
"Product","/products/maverick-suede-cool-grey",307,346,11,3
"Product","/products/eastwood-velvet-noir-1",329,345,9,11
"Product","/products/west-coated-noir",312,330,4,3
"Product","/products/dann-shirt-blanc",307,325,11,16
"Product","/products/greyson-vintage-velvet-carbon",302,313,10,12
"Product","/products/dean-vintage-carbon",300,309,3,13
"Collection","/collections/shirts",285,301,10,5
"Product","/products/brando-coral",280,292,9,11
"Product","/products/maverick-suede-noir",261,285,4,2
"Product","/products/dean-neddle-cord-noir-sherpa",273,279,5,8
"Collection","/collections/skinny",262,271,4,5
"Product","/products/brando-blanc",246,261,2,7
"Collection","/collections/jackets",232,252,10,6
"Product","/products/brando-tinted-indigo",226,245,5,7
"Product","/products/maverick-suede-taupe",229,244,3,6
"Product","/products/deniro-ink",240,243,1,5
"Collection","/collections/slim",226,241,5,7
"Product","/products/eastwood-steel",238,241,2,6
"Product","/products/brando-st-barths",220,228,1,3
"Product","/products/brando-needle-cord-plum",201,217,11,9
"Product","/products/noah-suede-noir",203,214,10,4
"Custom Page","/pages/shipping-returns",213,214,0,4
"Product","/products/caine-acid-carbon",193,206,7,6
"Product","/products/eastwood-suede-vintage-blanc",178,203,0,0
"Product","/products/trooper-plum",196,202,0,3
"Collection","/collections/straight-leg",194,200,6,4
,"/en-ca",173,192,9,8
"Product","/products/cruise-blanc",189,190,1,1
"Product","/products/cooper-juniper",182,189,0,1
"Product","/products/brando-belmar",182,188,4,6
"Product","/products/caine-lincoln",169,180,3,2
"Product","/products/greyson-rivoli",176,177,0,2
"Product","/products/tactical-needle-cord-noir",167,174,5,6
,"/en-de/products/dean-khaki",172,172,0,0
"Product","/products/brando-parisian-luxe-noir",171,172,1,6
"Product","/products/brando-parisian-luxe-light-grey",169,172,3,6
"Product","/products/brando-short-light-grey",159,164,5,7
"Collection","/collections/mothers-day-edit",155,163,3,0
"Product","/products/brando-florentine",158,161,0,4
"Product","/products/eastwood-needle-cord-plum",156,160,4,5
"Product","/products/clint-khaki",159,160,0,1
"Product","/products/bond-short-light-grey",158,160,2,6
"Product","/products/lenny-wilshire",141,159,1,3
"Product","/products/brando-medium-indigo-1",152,156,4,7
"Product","/products/eastwood-needle-cord-saddle",150,154,2,4
"Product","/products/brando-naples",133,151,3,6
"Custom Page","/pages/sizing-chart",143,150,2,1
"Product","/products/pierce-terry-noir",146,148,0,0
"Product","/products/eastwood-needle-cord-noir",143,148,1,1
"Product","/products/brando-parisian-luxe-army",146,146,0,2
"Product","/products/deniro-mineral-green",143,146,1,3
"Product","/products/brando-cote-divoir",143,145,2,3
"Product","/products/brando-linen-jade",143,144,0,0
"Product","/products/cruise-coral",142,144,0,2
"Collection","/collections/shorts-1",127,142,4,3
"Product","/products/brando-velvet-carbon",132,142,4,6
"Collection","/collections/fall-winter",137,141,7,6
"Product","/products/brando-needle-cord-juniper",136,140,3,2
"Product","/products/lenny-opera",137,139,0,1
"Product","/products/wayne-needle-cord-plum",136,139,1,5
"Product","/products/brando-jade",137,138,1,4
"Collection","/collections/core",136,138,0,2
"Product","/products/brando-velvet-saddle",132,137,2,6
"Collection","/collections/all-styles",132,133,1,0
,"/en-cn",133,133,0,0
"Collection","/collections/greyson-skinny-fit",131,131,4,2
"Product","/products/caine-clichy",129,131,1,3
"Product","/products/caine-espresso",128,130,0,5
"Product","/products/greyson-ash",129,129,0,0
"Product","/products/caine-noir",126,127,0,0
"Collection","/collections/noah-jogger",114,125,6,1
,"/en-in",102,125,22,4
"Product","/products/brando-parisian-luxe-jade",123,125,1,1
"Product","/products/bond-shirt-beverly-hills",103,122,6,3
"Product","/products/dean-jacket-coated-noir",121,121,0,0
"Product","/products/caine-mf-leopard-flock",113,120,5,4
"Product","/products/wayne-needle-cord-noir",104,117,3,4
"Product","/products/brando-oakland",115,116,0,1
"Product","/products/brando-eiffel-tower",115,115,0,0
"Product","/products/brando-needle-cord-khaki",111,114,2,1
"Product","/products/brando-vintage-blanc-1",113,114,3,7
"Collection","/collections/sale-tops",112,113,0,0
"Product","/products/dann-long-slv-vintage-blanc",111,112,1,2
,"/en-in/products/dean-suede-noir",109,111,3,1
"Collection","/collections/new-arrivals-bottoms",109,111,2,1
"Custom Page","/pages/about",108,108,0,0
"Product","/products/noah-suede-ivory",97,103,5,4
"Product","/products/greyson-slash-vintage",103,103,2,0
"Product","/products/travis-light-grey",99,99,2,7
"Product","/products/brando-dune",95,98,1,2
"Product","/products/caine-vintage-plum",88,98,5,4
"Product","/products/bond-short-le-club",95,95,0,2
,"/es-mx",90,94,4,2
"Product","/products/caine-valois",92,94,0,2
"Product","/products/brando-tobacco",90,93,1,0
"Product","/products/tactical-army",92,92,0,1
"Product","/products/cruise-capuccino",86,86,0,0
"Collection","/collections/new-arrivals-tops",78,83,0,1
"Custom Page","/pages/about-us",82,83,0,0
"Product","/products/deniro-malibu",80,83,1,1
"Product","/products/pierce-ls-noir",83,83,0,2
"Collection","/collections/spring-summer",79,82,1,2
"Product","/products/pierce-terry-light-grey",75,79,1,1
"Custom Page","/pages/404",77,77,0,2
,"/en-au",46,76,2,3
"Product","/products/mfvla1-bleached-indigo",74,74,0,0
,"/en-mx",70,73,3,3
,"/fr-fr",72,72,0,0
"Product","/products/brando-pico",71,71,0,6
"Custom Page","/pages/govx-id-military-discount",70,70,0,0
"Product","/products/free-unlimited-return-valid-in-us",69,69,0,0
