Referring platform,Channel,Type,Sessions,Sales,Orders,Conversion rate,Cost,ROAS,CPA,CTR,AOV,Orders from new customers,Orders from returning customers
direct,direct,direct,12825,4982.03,19,0.0014814814814814814,,,,,262.212,9,10
meta,facebook,paid,3568,5071.59,19,0.005325112107623318,,,,,266.925,12,7
unattributed,unattributed,unattributed,3369,2686.96,8,0.0023745918670228555,,,,,335.87,4,4
klaviyo,klaviyo,paid,3077,16830.53,61,0.019824504387390314,,,,,275.91,15,46
meta,instagram,paid,2974,6224.7,22,0.007397444519166106,,,,,282.94,14,8
alphabet,google,paid,1716,12415.55,47,0.027389277389277388,,,,,264.16,30,17
alphabet,google,organic,1026,3414.76,12,0.011695906432748537,,,,,284.563,8,4
meta,facebook,unknown,697,,,,,,,,,,
meta,instagram,unknown,687,,,,,,,,,,
meta,facebook,organic,482,,,,,,,,,,
baidu,baidu,organic,296,,,,,,,,,,
alphabet,google,unknown,156,537.9,1,0.00641025641025641,,,,,537.9,1,0
unattributed,unattributed,unknown,140,310.4,2,0.014285714285714285,,,,,155.2,2,0
alphabet,unattributed,paid,112,376.9,2,0.017857142857142856,,,,,188.45,2,0
googlesyndication,googlesyndication,paid,91,,,,,,,,,,
microsoft,bing,organic,64,820.24,4,0.0625,,,,,205.06,3,1
meta,unattributed,paid,62,,,,,,,,,,
rakuten,rakuten,unknown,60,,,,,,,,,,
android,android,paid,46,,,,,,,,,,
redo,redo,paid,38,411.1,2,0.05263157894736842,,,,,205.55,0,2
alphabet,youtube,paid,37,108.9,1,0.02702702702702703,,,,,108.9,1,0
top-best,top-best,organic,35,,,,,,,,,,
microsoft,bing,unknown,27,,,,,,,,,,
microsoft,bing,paid,23,,,,,,,,,,
yahoo!,yahoo!,organic,21,,,,,,,,,,
meta,unattributed,unknown,20,,,,,,,,,,
contaya,contaya,organic,18,,,,,,,,,,
doubleclick,doubleclick,paid,18,,,,,,,,,,
duckduckgo,duckduckgo,organic,18,2041.4,2,0.1111111111111111,,,,,1020.7,0,2
unattributed,unattributed,paid,15,348,1,0.06666666666666667,,,,,348,1,0
force,force,organic,13,,,,,,,,,,
retailmenot,retailmenot,unknown,13,599.76,2,0.15384615384615385,,,,,299.88,1,1
awin,awin,organic,12,,,,,,,,,,
safeopt,safeopt,unknown,12,,,,,,,,,,
socialsnowball,socialsnowball,organic,12,,,,,,,,,,
shopify,shop_campaigns,paid,10,,,,,,,,,,
meta,instagram,organic,8,,,,,,,,,,
pinterest,pinterest,unknown,7,,,,,,,,,,
shopify,shopify,organic,7,,,,,,,,,,
chatgpt.com,chatgpt.com,unknown,6,,,,,,,,,,
getredo,getredo,organic,6,1334,4,0.6666666666666666,,,,,333.5,3,1
contaya,contaya,unknown,5,,,,,,,,,,
internalfb,internalfb,unknown,5,,,,,,,,,,
snowball,snowball,unknown,5,,,,,,,,,,
supreme-deals,supreme-deals,unknown,4,,,,,,,,,,
alphabet,gmail,paid,3,,,,,,,,,,
whatsonthestar,whatsonthestar,unknown,3,,,,,,,,,,
brave,brave,organic,2,,,,,,,,,,
chicagocollectivemens,chicagocollectivemens,organic,2,,,,,,,,,,
couponssaving,couponssaving,unknown,2,,,,,,,,,,
