Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
cruise-noir-1,Cruise Noir,Color,Noir,Size,40,,,613S_NOIR_40,,,MONFRÈRE,,0,0,0,0,0,
cruise-noir-1,Cruise Noir,Color,Noir,Size,42,,,613S_NOIR_42,,,MONFRÈRE,,0,0,0,0,0,
eastwood-smokescreen,Eastwood Smokescreen,Color,Smokescreen,Size,XS,,,801D_SMOKESCREEN_XS,,CN,MONFRÈRE,,0,0,0,0,0,
eastwood-smokescreen,Eastwood Smokescreen,Color,Smokescreen,Size,S,,,801D_SMOKESCREEN_S,,CN,MONFRÈRE,,0,0,0,3,3,
eastwood-smokescreen,Eastwood Smokescreen,Color,Smokescreen,Size,M,,,801D_SMOKESCREEN_M,,CN,MONFRÈRE,,0,0,0,6,6,
eastwood-smokescreen,Eastwood Smokescreen,Color,Smokescreen,Size,L,,,801D_SMOKESCREEN_L,,CN,MONFRÈRE,,0,0,0,5,5,
eastwood-smokescreen,Eastwood Smokescreen,Color,Smokescreen,Size,XL,,,801D_SMOKESCREEN_XL,,CN,MONFRÈRE,,0,0,0,1,1,
eastwood-smokescreen,Eastwood Smokescreen,Color,Smokescreen,Size,XXL,,,801D_SMOKESCREEN_XXL,,CN,MONFRÈRE,,0,0,1,0,1,
eastwood-suede-steel-blue,Eastwood Butter Suede Steel Blue,Color,Steel Blue,Size,XS,,,801S_STEELBLUE_XS,,CN,MONFRÈRE,,0,0,0,0,0,
eastwood-suede-steel-blue,Eastwood Butter Suede Steel Blue,Color,Steel Blue,Size,S,,,801S_STEELBLUE_S,,CN,MONFRÈRE,,0,0,0,14,14,
eastwood-suede-steel-blue,Eastwood Butter Suede Steel Blue,Color,Steel Blue,Size,M,,,801S_STEELBLUE_M,,CN,MONFRÈRE,,0,0,0,13,13,
eastwood-suede-steel-blue,Eastwood Butter Suede Steel Blue,Color,Steel Blue,Size,L,,,801S_STEELBLUE_L,,CN,MONFRÈRE,,0,0,0,12,12,
eastwood-suede-steel-blue,Eastwood Butter Suede Steel Blue,Color,Steel Blue,Size,XL,,,801S_STEELBLUE_XL,,CN,MONFRÈRE,,0,0,0,12,12,
eastwood-suede-steel-blue,Eastwood Butter Suede Steel Blue,Color,Steel Blue,Size,XXL,,,801S_STEELBLUE_XXL,,CN,MONFRÈRE,,0,0,0,15,15,
bond-shirt-silk-ivory,Bond Shirt Silk Ivory,Color,Ivory,Size,XS,,,822S_IVORY_XS,,CN,MONFRÈRE,,0,0,0,0,0,
bond-shirt-silk-ivory,Bond Shirt Silk Ivory,Color,Ivory,Size,S,,,822S_IVORY_S,,CN,MONFRÈRE,,0,0,0,3,3,
bond-shirt-silk-ivory,Bond Shirt Silk Ivory,Color,Ivory,Size,M,,,822S_IVORY_M,,CN,MONFRÈRE,,0,0,0,2,2,
bond-shirt-silk-ivory,Bond Shirt Silk Ivory,Color,Ivory,Size,L,,,822S_IVORY_L,,CN,MONFRÈRE,,0,0,0,8,8,
bond-shirt-silk-ivory,Bond Shirt Silk Ivory,Color,Ivory,Size,XL,,,822S_IVORY_XL,,CN,MONFRÈRE,,0,0,0,1,1,
bond-shirt-silk-ivory,Bond Shirt Silk Ivory,Color,Ivory,Size,XXL,,,822S_IVORY_XXL,,CN,MONFRÈRE,,0,0,0,3,3,
bond-shirt-silk-outlaw,Bond Shirt Silk Outlaw,Color,Outlaw,Size,XS,,,822S_OUTLAW_XS,,CN,MONFRÈRE,,0,0,0,7,7,
bond-shirt-silk-outlaw,Bond Shirt Silk Outlaw,Color,Outlaw,Size,S,,,822S_OUTLAW_S,,CN,MONFRÈRE,,0,0,0,4,4,
bond-shirt-silk-outlaw,Bond Shirt Silk Outlaw,Color,Outlaw,Size,M,,,822S_OUTLAW_M,,CN,MONFRÈRE,,0,0,0,6,6,
bond-shirt-silk-outlaw,Bond Shirt Silk Outlaw,Color,Outlaw,Size,L,,,822S_OUTLAW_L,,CN,MONFRÈRE,,0,0,0,6,6,
bond-shirt-silk-outlaw,Bond Shirt Silk Outlaw,Color,Outlaw,Size,XL,,,822S_OUTLAW_XL,,CN,MONFRÈRE,,0,0,0,5,5,
bond-shirt-silk-outlaw,Bond Shirt Silk Outlaw,Color,Outlaw,Size,XXL,,,822S_OUTLAW_XXL,,CN,MONFRÈRE,,0,0,0,3,3,
dean-blanc,Dean Blanc,Color,Blanc,Size,XS,,,909J_BLANC_XS,,,MONFRÈRE,,0,0,0,0,0,
dean-blanc,Dean Blanc,Color,Blanc,Size,S,,,909J_BLANC_S,,,MONFRÈRE,,0,0,0,0,0,
dean-blanc,Dean Blanc,Color,Blanc,Size,M,,,909J_BLANC_M,,,MONFRÈRE,,0,0,0,0,0,
dean-blanc,Dean Blanc,Color,Blanc,Size,L,,,909J_BLANC_L,,,MONFRÈRE,,0,0,0,0,0,
dean-blanc,Dean Blanc,Color,Blanc,Size,XL,,,909J_BLANC_XL,,,MONFRÈRE,,0,0,0,0,0,
dean-blanc,Dean Blanc,Color,Blanc,Size,XXL,,,909J_BLANC_XXL,,,MONFRÈRE,,0,0,0,0,0,
maverick-suede-cool-grey,Maverick Butter Suede Cool Grey,Color,Cool Grey,Size,XS,,,912S_COOL GREY_XS,,CN,MONFRÈRE,,0,0,0,0,0,
maverick-suede-cool-grey,Maverick Butter Suede Cool Grey,Color,Cool Grey,Size,S,,,912S_COOL GREY_S,,CN,MONFRÈRE,,0,0,0,16,16,
maverick-suede-cool-grey,Maverick Butter Suede Cool Grey,Color,Cool Grey,Size,M,,,912S_COOL GREY_M,,CN,MONFRÈRE,,0,0,0,18,18,
maverick-suede-cool-grey,Maverick Butter Suede Cool Grey,Color,Cool Grey,Size,L,,,912S_COOL GREY_L,,CN,MONFRÈRE,,0,0,0,12,12,
maverick-suede-cool-grey,Maverick Butter Suede Cool Grey,Color,Cool Grey,Size,XL,,,912S_COOL GREY_XL,,CN,MONFRÈRE,,0,0,0,12,12,
maverick-suede-cool-grey,Maverick Butter Suede Cool Grey,Color,Cool Grey,Size,XXL,,,912S_COOL GREY_XXL,,CN,MONFRÈRE,,0,0,0,16,16,
maverick-silk-steel-blue,Maverick Silk Steel Blue,Color,Steel Blue,Size,XS,,,912V_STEELBLUE_XS,,CN,MONFRÈRE,,0,0,0,0,0,
maverick-silk-steel-blue,Maverick Silk Steel Blue,Color,Steel Blue,Size,S,,,912V_STEELBLUE_S,,CN,MONFRÈRE,,0,0,0,0,0,
maverick-silk-steel-blue,Maverick Silk Steel Blue,Color,Steel Blue,Size,M,,,912V_STEELBLUE_M,,CN,MONFRÈRE,,0,0,0,0,0,
maverick-silk-steel-blue,Maverick Silk Steel Blue,Color,Steel Blue,Size,L,,,912V_STEELBLUE_L,,CN,MONFRÈRE,,0,0,0,5,5,
