site_name,total_transactions,new_customers,NCAR_Percentage,Partner_Type
intent.ly Overlays,344,136,39.53488372093023,Planter (Content/High Incr.)
Envolve Tech,262,119,45.41984732824427,Planter (Content/High Incr.)
Honey Science Corporation,82,44,53.65853658536586,Planter (Content/High Incr.)
Demand.io,63,30,47.61904761904761,Planter (Content/High Incr.)
Gabiram Media Ltd,44,19,43.18181818181818,Planter (Content/High Incr.)
RetailMeNot.com,36,16,44.44444444444444,Planter (Content/High Incr.)
"Ebates Performance Marketing, Inc. dba Rakuten Rewards",23,12,52.17391304347826,Planter (Content/High Incr.)
Wickfire,20,13,65.0,Planter (Content/High Incr.)
Linkbux,19,8,42.10526315789473,Planter (Content/High Incr.)
Couponology & Voucherology.co.uk,14,6,42.857142857142854,Planter (Content/High Incr.)
Minty Recover,14,11,78.57142857142857,Planter (Content/High Incr.)
Linkhaitao.com,13,5,38.46153846153847,Planter (Content/High Incr.)
Brandreward - Incentivized,13,8,61.53846153846154,Planter (Content/High Incr.)
Rewardoo,12,2,16.666666666666664,Harvester (Coupon/Low Incr.)
Ostheimer Marketing Kft,12,5,41.66666666666667,Planter (Content/High Incr.)
DontPayFull.com,10,5,50.0,Planter (Content/High Incr.)
Refermate LLC,9,4,44.44444444444444,Planter (Content/High Incr.)
Skimlinks Coupon Deal sites,9,2,22.22222222222222,Planter (Content/High Incr.)
BlueAFF,7,4,57.14285714285714,Planter (Content/High Incr.)
tenere_team,7,3,42.857142857142854,Planter (Content/High Incr.)
Asenco Inc.,6,2,33.33333333333333,Planter (Content/High Incr.)
LinkPrefer,5,4,80.0,Planter (Content/High Incr.)
"Wildfire Systems, Inc.",5,0,0.0,Harvester (Coupon/Low Incr.)
SimplyCodes,5,3,60.0,Planter (Content/High Incr.)
Kelkoo USA,5,2,40.0,Planter (Content/High Incr.)
CouponChief.com LLC,4,2,50.0,Planter (Content/High Incr.)
Links Circle PTY LTD,3,2,66.66666666666666,Planter (Content/High Incr.)
Vihaan Web Solutions Pvt. Ltd.,3,1,33.33333333333333,Planter (Content/High Incr.)
TakeAds GmbH,3,3,100.0,Planter (Content/High Incr.)
Zelda Digital Marketing B.V. Ltd,3,1,33.33333333333333,Planter (Content/High Incr.)
Deal Savings LLC,3,3,100.0,Planter (Content/High Incr.)
Example Publisher,3,1,33.33333333333333,Planter (Content/High Incr.)
surfmyads.com,3,2,66.66666666666666,Planter (Content/High Incr.)
Muhammad Asif,2,1,50.0,Planter (Content/High Incr.)
Awin Broken Links Account,2,2,100.0,Planter (Content/High Incr.)
Partnermatic,2,0,0.0,Harvester (Coupon/Low Incr.)
Curious Labs Ltd,2,0,0.0,Harvester (Coupon/Low Incr.)
Microsoft Cashback,2,1,50.0,Planter (Content/High Incr.)
MICROSOFT,2,2,100.0,Planter (Content/High Incr.)
Astronomic Effect,2,1,50.0,Planter (Content/High Incr.)
FatCoupon Technology Ltd,2,0,0.0,Harvester (Coupon/Low Incr.)
Sovrn Commerce Deals and Incentives,2,2,100.0,Planter (Content/High Incr.)
Ayesha Siddiqua,2,0,0.0,Harvester (Coupon/Low Incr.)
Twixio Digital Limited - Ireland,2,2,100.0,Planter (Content/High Incr.)
digidip GmbH - shopping extensions,1,1,100.0,Planter (Content/High Incr.)
dayinmydreams.com,1,0,0.0,Harvester (Coupon/Low Incr.)
GoCashBack.com,1,1,100.0,Planter (Content/High Incr.)
TopCashback (USA) Inc,1,0,0.0,Harvester (Coupon/Low Incr.)
Brandreward - Display,1,0,0.0,Harvester (Coupon/Low Incr.)
Skimlinks,1,1,100.0,Planter (Content/High Incr.)
"Prodege LLC – CouponCause, ReviewsPlus",1,1,100.0,Planter (Content/High Incr.)
Muchila Holdings Ltd.,1,1,100.0,Planter (Content/High Incr.)
EASY CLICK LIMITED,1,0,0.0,Harvester (Coupon/Low Incr.)
LTK,1,1,100.0,Planter (Content/High Incr.)
Coupert Limited,1,0,0.0,Harvester (Coupon/Low Incr.)
